shot,start_s,end_s,duration_s,peak_z
1,87.2,100.0,12.8,4.55
2,126.4,141.1,14.7,5.17
3,187.2,200.0,12.8,4.44
4,241.3,250.4,9.1,2.64
5,285.1,296.8,11.7,2.79
6,334.9,343.5,8.5,2.64
7,368.5,382.7,14.1,3.48
8,426.4,436.8,10.4,3.7
9,468.5,479.7,11.2,2.97
10,513.9,527.5,13.6,2.61
11,557.3,569.9,12.5,2.61
12,633.9,645.6,11.7,2.71
13,731.7,748.5,16.8,2.03
14,818.1,841.1,22.9,2.59
15,902.1,930.4,28.3,3.39
